Cluster_hmmer	New_prot_name	Names	Names2	Names3	start	end	strand	Mean_cov_depth_candidat	Median_cov_depth_candidat	Mean_GC_candidat	pvalue_cov_mean	pvalue_cov_median	Median_cov_depth_BUSCO	Mean_cov_depth_BUSCO	Mean_GC_BUSCO	FDR_cov_global	FDR_pvalue_cov_mean	FDR_pvalue_cov_median	Scaffold_name	Scaffold_score	Cluster_blast	Event	Nsp_MRCA	Nloc	Nsp	Pseudogenized	evalue	bits	Mean_dNdS	Pvalue_dNdS	SE_dNdS	Cynip_count	Filamentous_count	Best_hit_ORF_perc	Number_unique_Names2	Nb_duplicated	Ratio_duplicated_unique	Length	query	target	pident	alnlen	mismatch	gapopen	tstart	tend	qstart	qend	qlen	tlen	tcov	qcov	index	start-end	Overlapp_group	Tot_length	count_duplicate_overlapp	New_overlapping_group	len	Species_name	Species_scaffold_name	ORF_query	ORF_target	ORF_start	ORF_end	ORF_strand	Overlapp_ORF_EVEs	ORF_perc	ORF_overlapp_group	Best_hit_length	Virus_count	Scaffold_and_Species_name	euk_count	Metaeuk_vote	repeat_count	euk_count_plus_repeat	Names_bis	Tips4dNdS.array	Boot	Nsp_losses	Synteny_PASS2	Scaffold_length
Cluster1		JABMBU010182565.1:1160-1702(-):Phanerotoma	PhENV	JABMBU010182565.1:1135-1720(-):Phanerotoma [ORF]	1160	1702										True			JABMBU010182565.1		Cluster1					no	1.021e-19	85.0				0.0	1.0	1.0655737704918034	5.0	2.0	0.4	181.0	JABMBU010182565.1:1160-1702(-):Phanerotoma	ATY70247_DmNV_tom	30.7	175.0	115.0	0.0	4.0	170.0	1.0	175.0	181.0	178.0	0.938	0.967	4617.0	1160-1702	8.0	542.0	1.0	G8	542.0	Phanerotoma	Phanerotoma:JABMBU010182565.1	JABMBU010182565.1:1160-1702(-):Phanerotoma	"Phanerotoma:JABMBU010182565.1_ORF.6;1135-1720(-)"	1135.0	1720.0	-	yes-inside	1.0793357933579335	172.0	183.0	3.0	Phanerotoma:JABMBU010182565.1	0.0	no	1.0	1.0	JABMBU010182565.1_1135-1720_-__Phanerotoma					
Cluster1		JABMBU010189415.1:1264-1542(-):Phanerotoma	PhENV	JABMBU010189415.1:1264-1542(-):Phanerotoma	1264	1542										True			JABMBU010189415.1		Cluster1					no	1.641e-16	71.0				0.0	1.0		5.0	2.0	0.4	93.0	JABMBU010189415.1:1264-1542(-):Phanerotoma	ATY70247_DmNV_tom	41.8	93.0	51.0	0.0	87.0	174.0	1.0	93.0	93.0	178.0	0.494	1.0	4622.0	1264-1542	9.0	278.0	1.0	G9	278.0	Phanerotoma	Phanerotoma:JABMBU010189415.1									178.0	3.0	Phanerotoma:JABMBU010189415.1	0.0	no	0.0	0.0	JABMBU010189415.1_1264-1542_-__Phanerotoma					
Cluster1		JABMBU010272628.1:34-342(-):Phanerotoma	PhENV	JABMBU010272628.1:34-342(-):Phanerotoma	34	342										True			JABMBU010272628.1		Cluster1					no	7.109e-17	73.0				0.0	1.0		5.0	2.0	0.4	103.0	JABMBU010272628.1:34-342(-):Phanerotoma	ATY70247_DmNV_tom	42.8	92.0	49.0	0.0	87.0	173.0	12.0	103.0	103.0	178.0	0.489	0.893	4604.0	34-342	10.0	308.0	1.0	G10	308.0	Phanerotoma	Phanerotoma:JABMBU010272628.1									191.0	3.0	Phanerotoma:JABMBU010272628.1	0.0	no	0.0	0.0	JABMBU010272628.1_34-342_-__Phanerotoma					
Cluster1		JABMBU010302905.1:1-180(-):Phanerotoma	PhENV	JABMBU010302905.1:1-180(-):Phanerotoma	1	180										True			JABMBU010302905.1		Cluster1					no	3.729e-09	48.0				0.0	1.0		5.0	2.0	0.4	60.0	JABMBU010302905.1:1-180(-):Phanerotoma	ATY70247_DmNV_tom	45.4	55.0	29.0	0.0	83.0	137.0	7.0	60.0	60.0	178.0	0.309	0.9	4592.0	1-180	11.0	179.0	1.0	G11	179.0	Phanerotoma	Phanerotoma:JABMBU010302905.1									191.0	3.0	Phanerotoma:JABMBU010302905.1	0.0	no	0.0	0.0	JABMBU010302905.1_1-180_-__Phanerotoma					
Cluster1		JABMBU010376144.1:12387-12734(+):Phanerotoma	PhENV	JABMBU010376144.1:12368-12746(+):Phanerotoma [ORF]	12387	12734										True			JABMBU010376144.1		Cluster1					no	1.752e-20	84.0				0.0	1.0	0.7078651685393258	5.0	2.0	0.4	116.0	JABMBU010376144.1:12387-12734(+):Phanerotoma	ATY70247_DmNV_tom	40.3	116.0	66.0	0.0	64.0	174.0	1.0	116.0	116.0	178.0	0.624	1.0	4639.0	12387-12734	12.0	347.0	1.0	G12	347.0	Phanerotoma	Phanerotoma:JABMBU010376144.1	JABMBU010376144.1:12387-12734(+):Phanerotoma	"Phanerotoma:JABMBU010376144.1_ORF.9;12368-12746(+)"	12368.0	12746.0	+	yes-inside	1.0893371757925072	184.0	178.0	3.0	Phanerotoma:JABMBU010376144.1	1.0	yes	10.0	11.0	JABMBU010376144.1_12368-12746_+__Phanerotoma					
Cluster1		NW_023276350.1:36142-36402(+):Chelonus_insularis	Chelonus_insularis	NW_023276350.1:36142-36402(+):Chelonus_insularis	36142	36402										True			NW_023276350.1		Cluster1					no	5.649e-11	55.0				0.0	1.0	0.4397905759162304	5.0	2.0	0.4	87.0	NW_023276350.1:36142-36402(+):Chelonus_insularis	ATY70247_DmNV_tom	35.7	88.0	54.0	0.0	6.0	93.0	1.0	85.0	87.0	178.0	0.494	0.977	4612.0	36142-36402	13.0	260.0	1.0	G13	260.0	Chelonus_insularis	Chelonus_insularis:NW_023276350.1	NW_023276350.1:36142-36402(+):Chelonus_insularis	"Chelonus_insularis:NW_023276350.1_ORF.11;36153-36405(+)"	36153.0	36405.0	+	yes-left	0.9692307692307692	405.0	191.0	3.0	Chelonus_insularis:NW_023276350.1	13.0	yes	132.0	145.0	NW_023276350.1_36142-36402_+__Chelonus_insularis					
Cluster1		NW_023276350.1:554433-554879(+):Chelonus_insularis	Chelonus_insularis	NW_023276350.1:554417-554882(+):Chelonus_insularis [ORF]	554433	554879										True			NW_023276350.1		Cluster1					no	8.608e-17	75.0				0.0	1.0	0.8707865168539326	5.0	2.0	0.4	149.0	NW_023276350.1:554433-554879(+):Chelonus_insularis	ATY70247_DmNV_tom	32.1	143.0	94.0	0.0	39.0	177.0	7.0	149.0	149.0	178.0	0.781	0.96	4644.0	554433-554879	14.0	446.0	1.0	G14	446.0	Chelonus_insularis	Chelonus_insularis:NW_023276350.1	NW_023276350.1:554433-554879(+):Chelonus_insularis	"Chelonus_insularis:NW_023276350.1_ORF.516;554417-554882(+)"	554417.0	554882.0	+	yes-inside	1.0426008968609866	406.0	178.0	3.0	Chelonus_insularis:NW_023276350.1	13.0	yes	132.0	145.0	NW_023276350.1_554417-554882_+__Chelonus_insularis					
Cluster1		NW_023276351.1:181498-181692(+):Chelonus_insularis	Chelonus_insularis	NW_023276351.1:181498-181692(+):Chelonus_insularis	181498	181692										True			NW_023276351.1		Cluster1					no	4.739e-09	48.0				0.0	1.0		5.0	2.0	0.4	65.0	NW_023276351.1:181498-181692(+):Chelonus_insularis	B7SV26_OrNV	40.1	65.0	38.0	0.0	52.0	116.0	1.0	65.0	65.0	191.0	0.34	1.0	4660.0	181498-181692	15.0	194.0	1.0	G15	194.0	Chelonus_insularis	Chelonus_insularis:NW_023276351.1									191.0	3.0	Chelonus_insularis:NW_023276351.1	7.0	yes	33.0	40.0	NW_023276351.1_181498-181692_+__Chelonus_insularis					
Cluster1		NW_023276352.1:85933-86202(+):Chelonus_insularis	Chelonus_insularis	NW_023276352.1:85933-86202(+):Chelonus_insularis	85933	86202										True			NW_023276352.1		Cluster1					no	3.399e-11	56.0				0.0	1.0	0.4662921348314606	5.0	2.0	0.4	90.0	NW_023276352.1:85933-86202(+):Chelonus_insularis	ATY70247_DmNV_tom	35.0	92.0	58.0	0.0	47.0	138.0	1.0	90.0	90.0	178.0	0.517	1.0	4652.0	85933-86202	16.0	269.0	1.0	G16	269.0	Chelonus_insularis	Chelonus_insularis:NW_023276352.1	NW_023276352.1:85933-86202(+):Chelonus_insularis	"Chelonus_insularis:NW_023276352.1_ORF.28;85971-86220(+)"	85971.0	86220.0	+	yes-left	0.9256505576208178	408.0	178.0	3.0	Chelonus_insularis:NW_023276352.1	10.0	yes	48.0	58.0	NW_023276352.1_85933-86202_+__Chelonus_insularis					
Cluster1		NW_023276352.1:91750-92283(-):Chelonus_insularis	Chelonus_insularis	NW_023276352.1:91737-92301(-):Chelonus_insularis [ORF]	91750	92283										True			NW_023276352.1		Cluster1					no	6.519e-25	100.0				0.0	1.0	1.0273224043715847	5.0	2.0	0.4	178.0	NW_023276352.1:91750-92283(-):Chelonus_insularis	ATY70247_DmNV_tom	33.9	178.0	112.0	0.0	4.0	174.0	1.0	178.0	178.0	0.961	1.0	178.0	4614.0	91750-92283	17.0	533.0	1.0	G17	533.0	Chelonus_insularis	Chelonus_insularis:NW_023276352.1	NW_023276352.1:91750-92283(-):Chelonus_insularis	"Chelonus_insularis:NW_023276352.1_ORF.379;91737-92301(-)"	91737.0	92301.0	-	yes-inside	1.0581613508442778	409.0	183.0	3.0	Chelonus_insularis:NW_023276352.1	10.0	yes	48.0	58.0	NW_023276352.1_91737-92301_-__Chelonus_insularis					
Cluster1		NW_023276360.1:12115-12408(-):Chelonus_insularis	Chelonus_insularis	NW_023276360.1:12115-12408(-):Chelonus_insularis	12115	12408										True			NW_023276360.1		Cluster1					no	1.056e-12	61.0				0.0	1.0	0.3821989528795811	5.0	2.0	0.4	98.0	NW_023276360.1:12115-12408(-):Chelonus_insularis	ATY70247_DmNV_tom	36.4	95.0	58.0	0.0	39.0	133.0	7.0	98.0	98.0	178.0	0.534	0.939	4630.0	12115-12408	18.0	293.0	1.0	G18	293.0	Chelonus_insularis	Chelonus_insularis:NW_023276360.1	NW_023276360.1:12115-12408(-):Chelonus_insularis	"Chelonus_insularis:NW_023276360.1_ORF.60;12111-12330(-)"	12111.0	12330.0	-	yes-right	0.7474402730375427	410.0	191.0	3.0	Chelonus_insularis:NW_023276360.1	1.0	yes	7.0	8.0	NW_023276360.1_12115-12408_-__Chelonus_insularis					
Cluster1		NW_023276373.1:85482-85865(-):Chelonus_insularis	Chelonus_insularis	NW_023276373.1:85481-85865(-):Chelonus_insularis [ORF]	85482	85865										True			NW_023276373.1		Cluster1					no	4.235e-14	68.0				0.0	1.0	0.7191011235955056	5.0	2.0	0.4	128.0	NW_023276373.1:85482-85865(-):Chelonus_insularis	ATY70247_DmNV_tom	32.0	130.0	86.0	0.0	1.0	130.0	1.0	128.0	128.0	0.73	1.0	178.0	4643.0	85482-85865	19.0	383.0	1.0	G19	383.0	Chelonus_insularis	Chelonus_insularis:NW_023276373.1	NW_023276373.1:85482-85865(-):Chelonus_insularis	"Chelonus_insularis:NW_023276373.1_ORF.108;85481-85865(-)"	85481.0	85865.0	-	yes-right	1.0026109660574412	411.0	178.0	3.0	Chelonus_insularis:NW_023276373.1	1.0	yes	26.0	27.0	NW_023276373.1_85481-85865_-__Chelonus_insularis					
Cluster1		NW_023276391.1:34362-34748(+):Chelonus_insularis	Chelonus_insularis	NW_023276391.1:34362-34748(+):Chelonus_insularis	34362	34748										True			NW_023276391.1		Cluster1					no	2.007e-16	73.0				0.0	1.0	0.6701570680628273	5.0	2.0	0.4	129.0	NW_023276391.1:34362-34748(+):Chelonus_insularis	ATY70247_DmNV_tom	34.7	124.0	75.0	0.0	59.0	174.0	1.0	124.0	129.0	178.0	0.652	0.961	4597.0	34362-34748	20.0	386.0	1.0	G20	386.0	Chelonus_insularis	Chelonus_insularis:NW_023276391.1	NW_023276391.1:34362-34748(+):Chelonus_insularis	"Chelonus_insularis:NW_023276391.1_ORF.41;34364-34748(+)"	34364.0	34748.0	+	yes-left	0.9948186528497408	419.0	191.0	3.0	Chelonus_insularis:NW_023276391.1	5.0	yes	6.0	11.0	NW_023276391.1_34362-34748_+__Chelonus_insularis					
Cluster1		NW_023276415.1:1246349-1246570(-):Chelonus_insularis	Chelonus_insularis	NW_023276415.1:1246349-1246570(-):Chelonus_insularis	1246349	1246570										True			NW_023276415.1		Cluster1					no	1.058e-09	51.0				0.0	1.0	0.4101123595505618	5.0	2.0	0.4	74.0	NW_023276415.1:1246349-1246570(-):Chelonus_insularis	ATY70247_DmNV_tom	37.2	76.0	46.0	0.0	59.0	134.0	1.0	74.0	74.0	178.0	0.427	1.0	4609.0	1246349-1246570	29.0	221.0	1.0	G29	221.0	Chelonus_insularis	Chelonus_insularis:NW_023276415.1	NW_023276415.1:1246349-1246570(-):Chelonus_insularis	"Chelonus_insularis:NW_023276415.1_ORF.2143;1246348-1246567(-)"	1246348.0	1246567.0	-	yes-right	0.990950226244344	420.0	178.0	3.0	Chelonus_insularis:NW_023276415.1	63.0	yes	274.0	337.0	NW_023276415.1_1246349-1246570_-__Chelonus_insularis					
Cluster1		NW_023276415.1:13247-13780(-):Chelonus_insularis	Chelonus_insularis	NW_023276415.1:13234-13798(-):Chelonus_insularis [ORF]	13247	13780										True			NW_023276415.1		Cluster1					no	8.913e-25	99.0				0.0	1.0	1.0561797752808988	5.0	2.0	0.4	178.0	NW_023276415.1:13247-13780(-):Chelonus_insularis	ATY70247_DmNV_tom	33.8	178.0	113.0	0.0	4.0	174.0	1.0	178.0	178.0	0.961	1.0	178.0	4599.0	13247-13780	21.0	533.0	1.0	G21	533.0	Chelonus_insularis	Chelonus_insularis:NW_023276415.1	NW_023276415.1:13247-13780(-):Chelonus_insularis	"Chelonus_insularis:NW_023276415.1_ORF.2489;13234-13798(-)"	13234.0	13798.0	-	yes-inside	1.0581613508442778	421.0	178.0	3.0	Chelonus_insularis:NW_023276415.1	63.0	yes	274.0	337.0	NW_023276415.1_13234-13798_-__Chelonus_insularis					
Cluster1		NW_023276415.1:227852-228064(-):Chelonus_insularis	Chelonus_insularis	NW_023276415.1:227852-228064(-):Chelonus_insularis	227852	228064										True			NW_023276415.1		Cluster1					no	2.58e-10	52.0				0.0	1.0	0.3932584269662921	5.0	2.0	0.4	71.0	NW_023276415.1:227852-228064(-):Chelonus_insularis	ATY70247_DmNV_tom	39.2	73.0	43.0	0.0	59.0	131.0	1.0	71.0	71.0	178.0	0.41	1.0	4629.0	227852-228064	22.0	212.0	1.0	G22	212.0	Chelonus_insularis	Chelonus_insularis:NW_023276415.1	NW_023276415.1:227852-228064(-):Chelonus_insularis	"Chelonus_insularis:NW_023276415.1_ORF.2428;227851-228061(-)"	227851.0	228061.0	-	yes-right	0.9905660377358492	422.0	178.0	3.0	Chelonus_insularis:NW_023276415.1	63.0	yes	274.0	337.0	NW_023276415.1_227852-228064_-__Chelonus_insularis					
Cluster1		NW_023276415.1:2306342-2306722(-):Chelonus_insularis	Chelonus_insularis	NW_023276415.1:2306332-2306740(-):Chelonus_insularis [ORF]	2306342	2306722										True			NW_023276415.1		Cluster1					no	1.652e-18	79.0				0.0	1.0	0.7640449438202247	5.0	2.0	0.4	127.0	NW_023276415.1:2306342-2306722(-):Chelonus_insularis	ATY70247_DmNV_tom	35.5	130.0	81.0	0.0	4.0	133.0	1.0	127.0	127.0	178.0	0.73	1.0	4626.0	2306342-2306722	30.0	380.0	1.0	G30	380.0	Chelonus_insularis	Chelonus_insularis:NW_023276415.1	NW_023276415.1:2306342-2306722(-):Chelonus_insularis	"Chelonus_insularis:NW_023276415.1_ORF.1924;2306332-2306740(-)"	2306332.0	2306740.0	-	yes-inside	1.0736842105263158	423.0	178.0	3.0	Chelonus_insularis:NW_023276415.1	63.0	yes	274.0	337.0	NW_023276415.1_2306332-2306740_-__Chelonus_insularis					
Cluster1		NW_023276415.1:231632-231823(+):Chelonus_insularis	Chelonus_insularis	NW_023276415.1:231632-231823(+):Chelonus_insularis	231632	231823										True			NW_023276415.1		Cluster1					no	2.705e-06	40.0				0.0	1.0	0.4719101123595505	5.0	2.0	0.4	64.0	NW_023276415.1:231632-231823(+):Chelonus_insularis	ATY70247_DmNV_tom	35.3	64.0	41.0	0.0	4.0	67.0	1.0	64.0	64.0	178.0	0.36	1.0	4588.0	231632-231823	23.0	191.0	1.0	G23	191.0	Chelonus_insularis	Chelonus_insularis:NW_023276415.1	NW_023276415.1:231632-231823(+):Chelonus_insularis	"Chelonus_insularis:NW_023276415.1_ORF.658;231619-231871(+)"	231619.0	231871.0	+	yes-inside	1.3193717277486912	424.0	178.0	3.0	Chelonus_insularis:NW_023276415.1	63.0	yes	274.0	337.0	NW_023276415.1_231632-231823_+__Chelonus_insularis					
Cluster1		NW_023276415.1:2348052-2348171(-):Chelonus_insularis	Chelonus_insularis	NW_023276415.1:2348052-2348171(-):Chelonus_insularis	2348052	2348171										True			NW_023276415.1		Cluster1					no	1.11e-06	40.0				0.0	1.0	0.2808988764044944	5.0	2.0	0.4	40.0	NW_023276415.1:2348052-2348171(-):Chelonus_insularis	ATY70247_DmNV_tom	49.6	40.0	20.0	0.0	4.0	43.0	1.0	40.0	40.0	178.0	0.225	1.0	4648.0	2348052-2348171	31.0	119.0	1.0	G31	119.0	Chelonus_insularis	Chelonus_insularis:NW_023276415.1	NW_023276415.1:2348052-2348171(-):Chelonus_insularis	"Chelonus_insularis:NW_023276415.1_ORF.3147;2348039-2348189(-)"	2348039.0	2348189.0	-	yes-inside	1.2605042016806722	425.0	178.0	3.0	Chelonus_insularis:NW_023276415.1	63.0	yes	274.0	337.0	NW_023276415.1_2348052-2348171_-__Chelonus_insularis					
Cluster1		NW_023276415.1:334402-334635(-):Chelonus_insularis	Chelonus_insularis	NW_023276415.1:334402-334635(-):Chelonus_insularis	334402	334635										True			NW_023276415.1		Cluster1					no	5.244e-11	55.0				0.0	1.0	0.5280898876404494	5.0	2.0	0.4	78.0	NW_023276415.1:334402-334635(-):Chelonus_insularis	ATY70247_DmNV_tom	38.0	80.0	48.0	0.0	59.0	138.0	1.0	78.0	78.0	178.0	0.449	1.0	4602.0	334402-334635	24.0	233.0	1.0	G24	233.0	Chelonus_insularis	Chelonus_insularis:NW_023276415.1	NW_023276415.1:334402-334635(-):Chelonus_insularis	"Chelonus_insularis:NW_023276415.1_ORF.3009;334350-334632(-)"	334350.0	334632.0	-	yes-right	1.2103004291845494	426.0	178.0	3.0	Chelonus_insularis:NW_023276415.1	63.0	yes	274.0	337.0	NW_023276415.1_334402-334635_-__Chelonus_insularis					
Cluster1		NW_023276415.1:382570-383103(+):Chelonus_insularis	Chelonus_insularis	NW_023276415.1:382551-383115(+):Chelonus_insularis [ORF]	382570	383103										True			NW_023276415.1		Cluster1					no	3.548e-28	109.0				0.0	1.0	1.0561797752808988	5.0	2.0	0.4	178.0	NW_023276415.1:382570-383103(+):Chelonus_insularis	ATY70247_DmNV_tom	36.2	178.0	108.0	0.0	4.0	174.0	1.0	178.0	178.0	0.961	1.0	178.0	4598.0	382570-383103	25.0	533.0	1.0	G25	533.0	Chelonus_insularis	Chelonus_insularis:NW_023276415.1	NW_023276415.1:382570-383103(+):Chelonus_insularis	"Chelonus_insularis:NW_023276415.1_ORF.93;382551-383115(+)"	382551.0	383115.0	+	yes-inside	1.0581613508442778	428.0	178.0	3.0	Chelonus_insularis:NW_023276415.1	63.0	yes	274.0	337.0	NW_023276415.1_382551-383115_+__Chelonus_insularis					
